MRK,Bear,2011-03-27T10:23:11Z
AGNC,Bear,2011-03-27T10:23:11Z
IBM,Bull,2009-02-26T12:31:20Z
CSX,Bear,2009-02-26T12:31:20Z
IBM,Bull,2014-05-07T09:50:49Z
CSX,Bear,2014-05-07T09:50:49Z
WIN,Bull,2010-01-05T11:34:21Z
AKAM,Bull,2010-01-05T11:34:21Z
C,Bull,2010-01-05T11:34:21Z
AAPL,Bull,2010-01-05T11:34:21Z
CSX,Bear,2010-01-05T11:34:21Z
ARMH,Bull,2011-05-19T10:39:52Z
APC,Bull,2011-05-19T10:39:52Z
NAT,Bull,2011-05-19T10:39:52Z
DRYS,Bear,2011-05-19T10:39:52Z
BCO,Bull,2017-11-14T11:15:32Z
CSCO,Bull,2017-11-14T11:15:32Z
ENB,Bull,2017-11-14T11:15:32Z
RIO,Bear,2017-11-14T11:15:32Z
CSX,Bear,2017-11-14T11:15:32Z
LOGM,Bear,2017-11-14T11:15:32Z
ELF,Bear,2017-11-14T11:15:32Z
DNOW,Bear,2017-11-14T11:15:32Z
AT,Bull,2012-07-29T11:02:52Z
APC,Bull,2012-07-29T11:02:52Z
CHD,Bull,2012-07-29T11:02:52Z
OSIS,Bull,2012-07-29T11:02:52Z
GLD,Bull,2012-07-29T11:02:52Z
DHR,Bull,2012-07-29T11:02:52Z
AEM,Bear,2012-07-29T11:02:52Z
MDRX,Bull,2013-07-03T10:01:12Z
BAC,Bull,2013-07-03T10:01:12Z
AMD,Bull,2013-07-03T10:01:12Z
CMI,Bull,2013-07-03T10:01:12Z
WFT,Bear,2013-07-03T10:01:12Z
XONE,Bear,2013-07-03T10:01:12Z
NAV,Bear,2013-07-03T10:01:12Z
AMRN,Bear,2013-03-22T10:50:45Z
AXP,Bull,2011-03-06T09:43:32Z
WFT,Bull,2011-03-06T09:43:32Z
BA,Bull,2011-03-06T09:43:32Z
AMRN,Bear,2011-03-06T09:43:32Z
JNJ,Bull,2011-12-09T11:02:48Z
NKE,Bull,2011-12-09T11:02:48Z
NG,Bull,2011-12-09T11:02:48Z
UL,Bull,2011-12-09T11:02:48Z
INTC,Bull,2011-12-09T11:02:48Z
LULU,Bear,2011-12-09T11:02:48Z
TWI,Bear,2011-12-09T11:02:48Z
MU,Bear,2011-12-09T11:02:48Z
FCX,Bear,2011-12-09T11:02:48Z
WM,Bull,2011-11-22T11:53:41Z
CELG,Bull,2011-11-22T11:53:41Z
HCP,Bull,2011-11-22T11:53:41Z
EW,Bull,2011-11-22T11:53:41Z
VZ,Bull,2011-11-22T11:53:41Z
NVLS-OLD,Bull,2011-11-22T11:53:41Z
AMGN,Bear,2011-11-22T11:53:41Z
STI,Bear,2011-11-22T11:53:41Z
KKD,Bear,2011-11-22T11:53:41Z
NVS,Bear,2011-11-22T11:53:41Z
TU,Bear,2011-11-22T11:53:41Z
ZNGA,Bull,2012-03-22T10:24:52Z
SPPI,Bull,2012-03-22T10:24:52Z
HRL,Bull,2012-03-22T10:24:52Z
MOS,Bull,2012-03-22T10:24:52Z
BA,Bull,2012-03-22T10:24:52Z
WWE,Bear,2012-03-22T10:24:52Z
EA,Bear,2012-03-22T10:24:52Z
TEVA,Bear,2012-03-22T10:24:52Z
JEC,Bear,2012-03-22T10:24:52Z
BOFI,Bull,2018-05-11T11:24:44Z
VZ,Bull,2018-05-11T11:24:44Z
CMG,Bull,2018-05-11T11:24:44Z
ORCL,Bull,2018-05-11T11:24:44Z
PYPL,Bull,2018-05-11T11:24:44Z
RTN,Bull,2018-05-11T11:24:44Z
MCD,Bull,2018-05-11T11:24:44Z
MLCO,Bear,2018-05-11T11:24:44Z
MNK,Bear,2018-05-11T11:24:44Z
ROKU,Bear,2018-05-11T11:24:44Z
SMG,Bear,2018-05-11T11:24:44Z
QCOM,Bull,2009-12-24T11:54:49Z
AMD,Bull,2009-12-24T11:54:49Z
NFG,Bull,2009-12-24T11:54:49Z
TROW,Bull,2009-12-24T11:54:49Z
MRO,Bull,2009-12-24T11:54:49Z
BIG,Bear,2009-12-24T11:54:49Z
AKAM,Bull,2010-11-05T11:05:37Z
BBY,Bull,2010-11-05T11:05:37Z
CMI,Bull,2010-11-05T11:05:37Z
HAL,Bull,2010-11-05T11:05:37Z
RAX,Bear,2010-11-05T11:05:37Z
QTM,Bear,2010-11-05T11:05:37Z
RAX,Bear,2014-07-29T10:28:51Z
QTM,Bear,2014-07-29T10:28:51Z
